site	species	year	date	individual	subindividual	patch	period	height_cm	flowers_open	flowers_bud	corolla_height_mm	lip_width_mm	flower_size_mm	spur_length_mm	spur_width_mm	recorder	writer	notes	fruit_number	fruits_small	fruit_notes	Flower_damage	Spur_damage						
Oerup	Orchis_mascula	2021	20.5.2021	53	NA	B	NA	15.60	2	0	11.57	8.86	NA	NA	NA	Jule	Jule	spur_eaten_2_flowers_damaged_shoot_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	54	NA	B	NA	23.60	14	0	14.60	12.83	NA	12.25	NA	Patito	Camille	2_flowers_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	55	NA	B	NA	14.90	3	0	16.06	8.85	NA	12.74	NA	Jule	Jule	shoot_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	56	NA	B	NA	29.60	17	3	12.51	9.14	NA	14.26	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	57	NA	B	NA	25.10	10	7	14.90	11.21	NA	13.48	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	58	NA	B	NA	23.30	12	1	13.30	12.71	NA	11.81	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	59	NA	B	NA	20.90	14	1	9.11	7.18	NA	10.32	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	60	NA	B	NA	15.40	1	22	7.13	6.89	NA	6.41	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	61	NA	B	NA	21.00	11	1	14.84	11.48	NA	12.68	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	62	NA	B	NA	19.90	12	0	11.10	9.05	NA	10.98	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	63	NA	B	NA	12.80	7	0	7.46	6.87	NA	12.13	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	64	NA	B	NA	13.70	7	0	9.68	9.05	NA	10.06	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	65	NA	B	NA	27.60	14	3	12.73	9.02	NA	11.40	NA	Jule	Jule	1_aborted_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	66	NA	B	NA	15.90	16	0	7.70	8.77	NA	9.95	NA	Patito	Camille	1_flower_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	67	NA	B	NA	28.00	21	0	14.47	10.51	NA	12.44	NA	Jule	Jule	shoot_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	68	NA	B	NA	19.30	11	0	11.82	10.81	NA	9.65	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	69	NA	B	NA	23.30	14	0	12.12	10.14	NA	11.50	NA	Jule	Jule	2_aborted_flowers	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	70	NA	B	NA	18.60	7	0	11.43	10.12	NA	9.41	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	71	NA	B	NA	24.80	10	0	13.28	10.98	NA	14.31	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	72	NA	C	NA	14.00	10	0	11.05	10.42	NA	9.99	NA	Patito	Camille	1_flower_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	73	NA	C	NA	32.10	17	0	13.60	10.47	NA	16.78	NA	Jule	Jule	shoot_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	74	NA	C	NA	19.70	7	0	12.60	10.17	NA	11.38	NA	Patito	Camille	1_flower_aborted_and_3_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	75	NA	C	NA	24.60	22	0	13.26	9.97	NA	13.70	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	76	NA	C	NA	17.40	7	0	8.85	7.98	NA	8.96	NA	Patito	Camille	6_flowers_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	77	NA	C	NA	18.90	9	0	15.87	10.34	NA	12.10	NA	Jule	Jule	flower_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	78	NA	C	NA	24.60	16	4	14.08	11.64	NA	12.74	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	79	NA	C	NA	17.70	10	0	15.14	9.79	NA	12.01	NA	Jule	Jule	1_flower_eaten	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	80	NA	C	NA	19.20	12	0	13.30	9.47	NA	12.43	NA	Camille	Camille	1_flower_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	81	NA	C	NA	20.70	9	1	19.27	11.87	NA	13.99	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	82	NA	C	NA	17.40	5	1	14.09	8.18	NA	12.98	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	83	NA	C	NA	15.50	8	0	11.04	9.80	NA	9.68	NA	Jule	Jule	flower_damage_on_lower_flowers_2nd_flower_from_top_measured	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	84	NA	C	NA	16.40	4	0	11.11	12.48	NA	11.86	NA	Camille	Camille	1_flower_aborted_and_1_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	85	NA	C	NA	15.70	7	1	15.81	13.66	NA	14.54	NA	Jule	Jule	flower_damage_spur_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	86	NA	C	NA	22.20	20	0	16.22	26.64	NA	13.69	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	87	NA	C	NA	15.00	8	0	16.66	10.04	NA	15.08	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	88	NA	C	NA	30.80	33	0	18.32	17.44	NA	19.27	NA	Camille	Camille	1_flower_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	89	NA	C	NA	17.90	9	1	13.02	11.37	NA	11.82	NA	Jule	Jule	bud_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	90	NA	C	NA	32.80	13	0	15.37	13.32	NA	15.68	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	91	NA	D	NA	28.90	9	8	17.05	15.24	NA	12.98	NA	Jule	Jule	1_aborted_flower_4_eaten_flowers_flower_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	92	NA	D	NA	15.40	6	0	14.49	8.95	NA	14.71	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	93	NA	D	NA	23.10	15	2	15.64	12.38	NA	14.40	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	94	NA	D	NA	18.20	7	0	13.14	10.22	NA	10.71	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	95	NA	D	NA	19.60	10	2	10.69	8.99	NA	12.65	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	96	NA	D	NA	16.90	7	1	10.72	10.22	NA	11.41	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	97	NA	D	NA	16.00	7	1	13.72	11.12	NA	10.75	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	98	NA	D	NA	22.30	4	6	11.37	9.43	NA	10.68	NA	Jule	Jule	lowest_flower_eaten	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	99	NA	D	NA	27.90	16	1	14.02	13.18	NA	14.38	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	100	NA	D	NA	29.80	22	0	15.94	13.02	NA	13.94	NA	Jule	Jule	flower_damage_on_lower_flowers_4th_lowest_flower_measured	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	1	NA	A	NA	8.30	5	19	10.13	8.40	NA	8.01	NA	JS	KK	NA	3	6	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	2	NA	A	NA	13.90	12	2	12.45	7.61	NA	4.72	NA	MF	OO	NA	2	3	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	3	NA	A	NA	23.40	18	1	14.10	8.70	NA	11.20	NA	MF	OO	NA	2	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	4	NA	A	NA	9.80	5	9	13.33	10.37	NA	9.58	NA	JS	KK	NA	0	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	5	NA	A	NA	22.60	7	5	12.63	7.95	NA	10.02	NA	MF	OO	NA	0	5	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	6	NA	A	NA	14.30	15	2	14.16	8.49	NA	7.76	NA	MF	OO	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	7	NA	A	NA	11.20	6	8	14.01	8.36	NA	7.92	NA	MF	OO	NA	NA	NA	NA	1_flower_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	8	NA	A	NA	8.80	3	16	11.50	8.31	NA	8.94	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	9	NA	A	NA	19.70	14	0	10.51	9.82	NA	7.93	NA	MF	OO	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	10	NA	A	NA	11.40	2	22	7.58	6.79	NA	7.16	NA	JS	KK	NA	NA	NA	NA	Plant_damage	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	11	NA	A	NA	10.90	3	13	11.30	7.96	NA	8.93	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	12	NA	A	NA	22.90	26	3	13.29	10.95	NA	10.32	NA	MF	OO	NA	0	0	eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	13	NA	A	NA	20.10	22	1	11.49	11.27	NA	9.33	NA	MF	OO	NA	0	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	14	NA	A	NA	17.20	7	5	8.29	6.59	NA	7.23	NA	MF	OO	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	15	NA	B	NA	17.00	18	2	9.40	9.23	NA	7.90	NA	MF	OO	NA	2	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	16	NA	B	NA	21.40	20	6	10.88	8.82	NA	7.40	NA	MF	OO	NA	0	2	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	17	NA	B	NA	6.20	3	16	8.33	6.59	NA	8.12	NA	JS	KK	NA	0	0	eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	18	NA	B	NA	10.70	6	11	10.95	10.62	NA	9.14	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	19	NA	B	NA	11.80	4	12	11.13	8.51	NA	9.00	NA	JS	KK	NA	0	1	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	20	NA	B	NA	20.40	20	1	11.93	7.92	NA	9.08	NA	MF	OO	NA	0	3	1_fruit_eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	21	NA	B	NA	11.80	1	20	11.81	8.16	NA	11.79	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	22	NA	B	NA	20.80	19	2	10.97	7.63	NA	8.03	NA	MF	OO	NA	11	2	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	23	NA	B	NA	17.00	21	3	11.75	10.02	NA	8.40	NA	MF	OO	NA	9	3	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	24	NA	B	NA	6.60	1	20	11.13	7.80	NA	8.12	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	25	NA	C	NA	15.70	11	18	9.40	7.44	NA	9.39	NA	JS	KK	NA	20	1	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	26	NA	C	NA	23.80	3	24	11.35	8.30	NA	8.44	NA	JS	KK	NA	5	12	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	27	NA	C	NA	10.10	3	12	9.14	5.75	NA	8.54	NA	JS	KK	NA	1	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	28	NA	C	NA	10.30	6	9	14.01	6.87	NA	6.94	NA	JS	KK	NA	0	1	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	29	NA	C	NA	15.40	9	5	9.25	6.54	NA	7.91	NA	MF	OO	NA	0	0	eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	30	NA	C	NA	8.20	5	14	11.29	9.59	NA	7.81	NA	JS	KK	NA	1	3	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	31	NA	C	NA	10.40	8	3	12.70	8.14	NA	7.06	NA	JS	KK	NA	1	1	NA	NA	Spur_damage						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	32	NA	C	NA	12.60	7	0	15.03	7.73	NA	8.68	NA	JS	KK	NA	2	4	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	33	NA	C	NA	6.50	3	17	11.07	9.30	NA	8.05	NA	JS	KK	NA	2	12	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	34	NA	C	NA	7.10	3	13	11.03	7.79	NA	8.26	NA	JS	KK	NA	1	2	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	35	NA	C	NA	18.50	15	4	11.07	8.19	NA	6.07	NA	MF	OO	NA	1	5	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	36	NA	C	NA	14.30	7	6	10.41	6.15	NA	7.48	NA	MF	OO	NA	0	2	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	37	NA	C	NA	24.50	10	12	14.28	13.03	NA	11.18	NA	MF	OO	NA	5	7	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	38	NA	C	NA	8.70	5	1	12.53	10.82	NA	9.07	NA	JS	KK	NA	NA	NA	NA	Buds_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	39	NA	C	NA	8.50	2	10	10.83	7.06	NA	6.63	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	40	NA	C	NA	15.50	8	2	10.08	10.05	NA	10.05	NA	MF	OO	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	41	NA	C	NA	13.90	11	17	12.62	9.45	NA	7.71	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	42	NA	C	NA	12.80	5	23	12.97	10.18	NA	8.91	NA	JS	KK	NA	5	9	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	43	NA	C	NA	10.00	5	9	10.40	7.83	NA	8.42	NA	JS	KK	NA	0	1	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	44	NA	C	NA	10.70	2	16	9.96	6.38	NA	8.53	NA	JS	KK	NA	4	1	2_fruits_eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	45	NA	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	JS	KK	NA	2	1	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	46	NA	C	NA	13.60	5	29	11.52	9.58	NA	9.96	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	47	NA	C	NA	26.50	12	4	13.93	13.18	10.11	NA	NA	MF	OO	NA	2	0	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	48	NA	C	NA	16.00	11	2	9.67	7.78	9.00	NA	NA	MF	OO	NA	NA	NA	NA	NA	NA						
